TITLE_ID_NUMBER	TITLE	IMDB_TITLE	EPISODE_DATE	MOVIE_DATE	LENGTH	SHOTS_TOTAL	ASL	MAXIMUM_SL	STANDARD_DEVIATION	COMMENTS	DATE_SUBMITTED
362	Ma̱ana es para siempre, Part 2	Ma̱ana es para siempre	2009-02-27		328	71	4.62	24	4.36		13 May 2009
363	Ma̱ana es para siempre, Part 3	Ma̱ana es para siempre	2009-02-27		582	151	3.85	19	2.93		13 May 2009
364	Ma̱ana es para siempre, Part 4	Ma̱ana es para siempre	2009-02-27		513	133	3.86	15	2.83		13 May 2009
365	Ma̱ana es para siempre, Part 5	Ma̱ana es para siempre	2009-02-27		326	86	3.79	23	3.90		13 May 2009
366	Ma̱ana es para siempre, Part 1	Ma̱ana es para siempre	2009-03-02		692	174	3.98	31	3.33		13 May 2009
367	Ma̱ana es para siempre, Part 2	Ma̱ana es para siempre	2009-03-02		480	138	3.48	40	3.81		13 May 2009
368	Ma̱ana es para siempre, Part 3	Ma̱ana es para siempre	2009-03-02		489	138	3.54	20	3.18		13 May 2009
369	Ma̱ana es para siempre, Part 4	Ma̱ana es para siempre	2009-03-02		465	132	3.52	15	2.44		13 May 2009
370	Ma̱ana es para siempre, Part 5	Ma̱ana es para siempre	2009-03-02		275	80	3.44	10	2.25		13 May 2009
371	Ma̱ana es para siempre, Part 1	Ma̱ana es para siempre	2009-03-03		822	190	4.33	41	4.22		13 May 2009
372	Ma̱ana es para siempre, Part 2	Ma̱ana es para siempre	2009-03-03		479	114	4.20	28	4.14		13 May 2009
373	Ma̱ana es para siempre, Part 3	Ma̱ana es para siempre	2009-03-03		625	68	9.19	38	8.16		13 May 2009
374	Ma̱ana es para siempre, Part 4	Ma̱ana es para siempre	2009-03-03		249	60	4.15	18	3.08		13 May 2009
375	Ma̱ana es para siempre, Part 5	Ma̱ana es para siempre	2009-03-03		213	61	3.49	10	2.10		13 May 2009
376	Ma̱ana es para siempre, Part 1	Ma̱ana es para siempre	2009-03-04		534	131	4.08	36	4.09		13 May 2009
377	Ma̱ana es para siempre, Part 2	Ma̱ana es para siempre	2009-03-04		521	125	4.17	15	2.96		13 May 2009
